 npl time [msec]
 19718  28400.4966
 rpl   zpl  tokpl
  433.59375  173.4375  0.339231376
  433.59375  178.125  0.350341708
  433.59375  182.8125  0.364271248
  433.59375  187.5  0.380863012
  433.59375  192.1875  0.400056606
  433.59375  196.875  0.421697025
  433.59375  201.5625  0.445673872
  433.59375  206.25  0.471679083
  433.59375  210.9375  0.499601363
  433.59375  215.625  0.529036704
  433.59375  220.3125  0.55960598
  433.59375  225.  0.591100478
  433.59375  229.6875  0.623026621
  433.59375  234.375  0.656391287
  433.59375  239.0625  0.694935097
  433.59375  243.75  0.732125032
  433.59375  248.4375  0.76628094
  433.59375  253.125  0.795839111
  433.59375  257.8125  0.819101141
  433.59375  262.5  0.834126923
  433.59375  267.1875  0.838681459
  433.59375  271.875  0.830040847
  433.59375  276.5625  0.779595602
  433.59375  281.25  0.683078776
  433.59375  285.9375  0.573272929
  433.59375  290.625  0.454507656
  433.59375  295.3125  0.332478694
  433.59375  300.  0.213520827
  433.59375  304.6875  0.104158199
  433.59375  309.375  0.0630048638
  433.59375  314.0625  0.0482487136
  433.59375  318.75  0.0474265917
  433.59375  323.4375  0.0574651485
  433.59375  328.125  0.0748461599
  433.59375  332.8125  0.0953909656
  433.59375  337.5  0.114228798
  433.59375  342.1875  0.12560715
  433.59375  346.875  0.122955795
  433.59375  351.5625  0.0989078035
  435.9375 -18.75  0.110118447
  435.9375 -14.0625  0.131509109
  435.9375 -9.375  0.123841801
  435.9375 -4.6875  0.100285908
  435.9375  0.  0.0733568968
  435.9375  4.6875  0.054921852
  435.9375  9.375  0.0563462127
  435.9375  14.0625  0.0877661755
  435.9375  18.75  0.233815627
  435.9375  23.4375  0.412259615
  435.9375  28.125  0.590355119
  435.9375  32.8125  0.748956712
  435.9375  37.5  0.830086512
  435.9375  42.1875  0.832004863
  435.9375  46.875  0.806141187
  435.9375  51.5625  0.760612387
  435.9375  56.25  0.702283781
  435.9375  60.9375  0.638523201
  435.9375  65.625  0.582159695
  435.9375  70.3125  0.525167575
  435.9375  75.  0.469133688
  435.9375  79.6875  0.415452627
  435.9375  84.375  0.365079769
  435.9375  89.0625  0.318674842
  435.9375  93.75  0.276721578
  435.9375  98.4375  0.241739132
  435.9375  103.125  0.215294589
  435.9375  107.8125  0.19253766
  435.9375  112.5  0.173152118
  435.9375  117.1875  0.15675349
  435.9375  121.875  0.14308653
  435.9375  126.5625  0.131845734
  435.9375  131.25  0.122847617
  435.9375  135.9375  0.115871065
  435.9375  140.625  0.11073843
  435.9375  145.3125  0.107423939
  435.9375  150.  0.105776582
  435.9375  154.6875  0.105776686
  435.9375  159.375  0.107341211
  435.9375  164.0625  0.110572695
  435.9375  168.75  0.115399409
  435.9375  173.4375  0.121944026
  435.9375  178.125  0.130293818
  435.9375  182.8125  0.140441138
  435.9375  187.5  0.152533613
  435.9375  192.1875  0.166719295
  435.9375  196.875  0.182997075
  435.9375  201.5625  0.201614946
  435.9375  206.25  0.222608052
  435.9375  210.9375  0.246091675
  435.9375  215.625  0.27648538
  435.9375  220.3125  0.311076099
  435.9375  225.  0.348195563
  435.9375  229.6875  0.387595009
  435.9375  234.375  0.429072893
