  ktime
 9999
  time [S], rpp
  9.00049705  618.111965 561
  9.01049705  618.143448 562
  9.02049705  618.155818 563
  9.03049705  618.186593 564
  9.04049705  618.216965 565
  9.05049705  618.248814 566
  9.06049705  618.300882 567
  9.07049705  618.33622 568
  9.08049705  618.353866 569
  9.09049705  618.387854 570
  9.10049705  618.438938 571
  9.11049705  618.456127 572
  9.12049705  618.488677 573
  9.13049705  618.535075 574
  9.14049705  618.544571 575
  9.15049705  618.573583 576
  9.16049705  618.61992 577
  9.17049705  618.62819 578
  9.18049705  618.653684 579
  9.19049706  618.701804 580
  9.20049706  618.734165 581
  9.21049706  618.731311 582
  9.22049706  618.763235 583
  9.23049706  618.815683 584
  9.24049706  618.831206 585
  9.25049706  618.86374 586
  9.26049706  618.898057 587
  9.27049706  618.930314 588
  9.28049706  618.984523 589
  9.29049706  618.972926 590
  9.30049706  619.024453 591
  9.31049706  619.019476 592
  9.32049706  619.072461 593
  9.33049706  619.071521 594
  9.34049706  619.09558 595
  9.35049706  619.122819 596
  9.36049706  619.172832 597
  9.37049706  619.197126 598
  9.38049706  619.190249 599
  9.39049706  619.229733 600
  9.40049707  619.238972 601
  9.41049707  619.262172 602
  9.42049707  619.315882 603
  9.43049707  619.31166 604
  9.44049707  619.333669 605
  9.45049707  619.374392 606
  9.46049707  619.395823 607
  9.47049707  619.400439 608
  9.48049707  619.424201 609
  9.49049707  619.447071 610
  9.50049707  619.4882 611
  9.51049707  619.49275 612
  9.52049707  619.516107 613
  9.53049707  619.563073 614
  9.54049707  619.571481 615
  9.55049707  619.59725 616
  9.56049707  619.6257 617
  9.57049707  619.670063 618
  9.58049707  619.701106 619
  9.59049707  619.699909 620
  9.60049707  619.725162 621
  9.61049708  619.772409 622
  9.62049708  619.803262 623
  9.63049708  619.816925 624
  9.64049708  619.862557 625
  9.65049708  619.858725 626
  9.66049708  619.874766 627
  9.67049708  619.936823 628
  9.68049708  619.955108 629
  9.69049708  619.985169 630
  9.70049708  620.014271 631
  9.71049708  620.065294 632
  9.72049708  620.110632 633
  9.73049708  620.117131 634
  9.74049708  620.151816 635
  9.75049708  620.189086 636
  9.76049708  620.24138 637
  9.77049708  620.286298 638
  9.78049708  620.287102 639
  9.79049708  620.336763 640
  9.80049708  620.370073 641
  9.81049708  620.404903 642
  9.82049709  620.418355 643
  9.83049709  620.482865 644
  9.84049709  620.48165 645
  9.85049709  620.527956 646
  9.86049709  620.55978 647
  9.87049709  620.592102 648
  9.88049709  620.589855 649
  9.89049709  620.654371 650
  9.90049709  620.657257 651
  9.91049709  620.684188 652
  9.92049709  620.713065 653
  9.93049709  620.742235 654
  9.94049709  620.772023 655
  9.95049709  620.801548 656
  9.96049709  620.827721 657
  9.97049709  620.885442 658
  9.98049709  620.875761 659
  9.99049709  620.894915 660
  10.0004971  620.919586 661
  10.0104971  620.961656 662
  10.0204971  620.966436 663
  10.0304971  620.987603 664
  10.0404971  621.014253 665
  10.0504971  621.058843 666
  10.0604971  621.064918 667
  10.0704971  621.087879 668
  10.0804971  621.113896 669
  10.0904971  621.161238 670
  10.1004971  621.20367 671
  10.1104971  621.205221 672
  10.1204971  621.250549 673
  10.1304971  621.279209 674
  10.1404971  621.289623 675
  10.1504971  621.322194 676
  10.1604971  621.373663 677
  10.1704971  621.40481 678
  10.1804971  621.41677 679
  10.1904971  621.449729 680
  10.2004971  621.503062 681
  10.2104971  621.516896 682
  10.2204971  621.563379 683
  10.2304971  621.591963 684
  10.2404971  621.609123 685
  10.2504971  621.679349 686
  10.2604971  621.681514 687
  10.2704971  621.71409 688
  10.2804971  621.76536 689
  10.2904971  621.802635 690
  10.3004971  621.807719 691
  10.3104971  621.840869 692
  10.3204971  621.911111 693
  10.3304971  621.913956 694
  10.3404971  621.946785 695
  10.3504971  621.982518 696
  10.3604971  622.015915 697
  10.3704971  622.080589 698
  10.3804971  622.080089 699
  10.3904971  622.143806 700
  10.4004971  622.167551 701
  10.4104971  622.182119 702
  10.4204971  622.21736 703
  10.4304971  622.283717 704
  10.4404971  622.314125 705
  10.4504971  622.317458 706
  10.4604971  622.35141 707
  10.4704971  622.385605 708
  10.4804971  622.418707 709
  10.4904971  622.483239 710
  10.5004971  622.480973 711
  10.5104971  622.507558 712
  10.5204971  622.539563 713
  10.5304971  622.591715 714
  10.5404971  622.626227 715
  10.5504971  622.670719 716
  10.5604971  622.702732 717
  10.5704971  622.740609 718
  10.5804971  622.775911 719
  10.5904971  622.813174 720
  10.6004971  622.853604 721
  10.6104971  622.889838 722
