 ncam npf
 232 11
  pf_ves mutuals...
  9.2483E+01  4.3170E+01  1.6957E+02  3.6838E+02
  6.9257E+02  1.0467E+03  4.3556E+02
  1.3150E+01  2.1138E+01  9.3307E+01  8.5975E+01
  9.6216E+01  4.0145E+01  1.5708E+02  3.3992E+02
  6.3638E+02  9.9021E+02  4.5166E+02
  1.2295E+01  1.9939E+01  9.0765E+01  8.7346E+01
  1.0029E+02  3.7264E+01  1.4517E+02  3.1274E+02
  5.8246E+02  9.2355E+02  4.6573E+02
  1.1484E+01  1.8800E+01  8.8387E+01  8.8969E+01
  1.0477E+02  3.4530E+01  1.3388E+02  2.8690E+02
  5.3106E+02  8.5041E+02  4.7643E+02
  1.0717E+01  1.7721E+01  8.6190E+01  9.0910E+01
  1.0972E+02  3.1945E+01  1.2319E+02  2.6245E+02
  4.8240E+02  7.7446E+02  4.8216E+02
  9.9962E+00  1.6707E+01  8.4207E+01  9.3240E+01
  1.1519E+02  2.9517E+01  1.1317E+02  2.3951E+02
  4.3680E+02  6.9888E+02  4.8116E+02
  9.4440E+00  1.5930E+01  8.2788E+01  9.5518E+01
  1.2006E+02  2.7656E+01  1.0548E+02  2.2194E+02
  4.0191E+02  6.3886E+02  4.7416E+02
  8.8662E+00  1.5143E+01  8.1879E+01  9.9288E+01
  1.2635E+02  2.5666E+01  9.7175E+01  2.0270E+02
  3.6327E+02  5.6870E+02  4.5404E+02
  8.2660E+00  1.4341E+01  8.1487E+01  1.0491E+02
  1.3412E+02  2.3577E+01  8.8416E+01  1.8235E+02
  3.2241E+02  4.9339E+02  4.1937E+02
  7.8703E+00  1.3853E+01  8.2272E+01  1.1117E+02
  1.4031E+02  2.2138E+01  8.2268E+01  1.6782E+02
  2.9282E+02  4.3714E+02  3.8197E+02
  7.5786E+00  1.3545E+01  8.4213E+01  1.1895E+02
  1.4533E+02  2.1001E+01  7.7266E+01  1.5572E+02
  2.6773E+02  3.8834E+02  3.4167E+02
  7.3999E+00  1.3439E+01  8.7532E+01  1.2829E+02
  1.4816E+02  2.0182E+01  7.3457E+01  1.4610E+02
  2.4718E+02  3.4712E+02  3.0210E+02
  7.3444E+00  1.3559E+01  9.2478E+01  1.3895E+02
  1.4781E+02  1.9700E+01  7.0886E+01  1.3901E+02
  2.3112E+02  3.1323E+02  2.6583E+02
  7.4273E+00  1.3942E+01  9.9351E+01  1.5027E+02
  1.4367E+02  1.9584E+01  6.9627E+01  1.3451E+02
  2.1950E+02  2.8629E+02  2.3427E+02
  7.6629E+00  1.4621E+01  1.0835E+02  1.6092E+02
  1.3596E+02  1.9861E+01  6.9743E+01  1.3265E+02
  2.1225E+02  2.6582E+02  2.0803E+02
  8.0712E+00  1.5640E+01  1.1952E+02  1.6911E+02
  1.2576E+02  2.0571E+01  7.1352E+01  1.3359E+02
  2.0945E+02  2.5147E+02  1.8714E+02
  8.6353E+00  1.6977E+01  1.3257E+02  1.7376E+02
  1.1463E+02  2.1654E+01  7.4189E+01  1.3670E+02
  2.0989E+02  2.4136E+02  1.7043E+02
  9.2951E+00  1.8537E+01  1.4705E+02  1.7511E+02
  1.0372E+02  2.2929E+01  7.7566E+01  1.4058E+02
  2.1121E+02  2.3252E+02  1.5604E+02
  1.0021E+01  2.0280E+01  1.6268E+02  1.7349E+02
  9.3461E+01  2.4301E+01  8.1120E+01  1.4450E+02
  2.1222E+02  2.2370E+02  1.4310E+02
  1.0818E+01  2.2224E+01  1.7923E+02  1.6904E+02
  8.4013E+01  2.5776E+01  8.4851E+01  1.4844E+02
  2.1293E+02  2.1496E+02  1.3147E+02
  1.1699E+01  2.4405E+01  1.9643E+02  1.6206E+02
  7.5391E+01  2.7371E+01  8.8783E+01  1.5241E+02
  2.1332E+02  2.0632E+02  1.2095E+02
  1.2673E+01  2.6852E+01  2.1380E+02  1.5307E+02
  6.7613E+01  2.9094E+01  9.2920E+01  1.5639E+02
  2.1339E+02  1.9784E+02  1.1145E+02
  1.3750E+01  2.9596E+01  2.3075E+02  1.4268E+02
  6.0655E+01  3.0953E+01  9.7260E+01  1.6035E+02
  2.1315E+02  1.8957E+02  1.0286E+02
  1.4944E+01  3.2681E+01  2.4675E+02  1.3153E+02
  5.4446E+01  3.2965E+01  1.0182E+02  1.6429E+02
  2.1259E+02  1.8152E+02  9.5062E+01
  1.6273E+01  3.6162E+01  2.6131E+02  1.2014E+02
  4.8910E+01  3.5150E+01  1.0663E+02  1.6821E+02
  2.1171E+02  1.7369E+02  8.7968E+01
  1.7753E+01  4.0084E+01  2.7398E+02  1.0899E+02
  4.3993E+01  3.7522E+01  1.1167E+02  1.7208E+02
  2.1053E+02  1.6612E+02  8.1515E+01
  1.9401E+01  4.4498E+01  2.8445E+02  9.8398E+01
