  ktime 
 526
  time [S], Ecoil [kA] 
  3.326000E+00 -2.322011E+00 -2.126348E+00 -2.276158E+00 -2.104566E+00
  3.328000E+00 -2.322011E+00 -2.131914E+00 -2.298364E+00 -2.121269E+00
  3.330000E+00 -2.327606E+00 -2.137480E+00 -2.265054E+00 -2.087863E+00
  3.332000E+00 -2.333201E+00 -2.131914E+00 -2.259503E+00 -2.082296E+00
  3.334000E+00 -2.322011E+00 -2.137480E+00 -2.253951E+00 -2.093431E+00
  3.336000E+00 -2.338796E+00 -2.131914E+00 -2.265054E+00 -2.082296E+00
  3.338000E+00 -2.299630E+00 -2.137480E+00 -2.281709E+00 -2.104566E+00
  3.340000E+00 -2.316415E+00 -2.137480E+00 -2.253951E+00 -2.087863E+00
  3.342000E+00 -2.322011E+00 -2.131914E+00 -2.276158E+00 -2.082296E+00
  3.344000E+00 -2.327606E+00 -2.131914E+00 -2.259503E+00 -2.071160E+00
  3.346000E+00 -2.327606E+00 -2.131914E+00 -2.270606E+00 -2.098999E+00
  3.348000E+00 -2.333201E+00 -2.137480E+00 -2.281709E+00 -2.093431E+00
  3.350000E+00 -2.327606E+00 -2.120781E+00 -2.276158E+00 -2.098999E+00
  3.352000E+00 -2.333201E+00 -2.098516E+00 -2.292812E+00 -2.082296E+00
  3.354000E+00 -2.349986E+00 -2.109649E+00 -2.281709E+00 -2.087863E+00
  3.356000E+00 -2.355582E+00 -2.104082E+00 -2.298364E+00 -2.087863E+00
  3.358000E+00 -2.361177E+00 -2.109649E+00 -2.276158E+00 -2.087863E+00
  3.360000E+00 -2.366772E+00 -2.126348E+00 -2.237296E+00 -2.060025E+00
  3.362000E+00 -2.327606E+00 -2.131914E+00 -2.281709E+00 -2.093431E+00
  3.364000E+00 -2.322011E+00 -2.131914E+00 -2.265054E+00 -2.076728E+00
  3.366000E+00 -2.322011E+00 -2.131914E+00 -2.315019E+00 -2.093431E+00
  3.368000E+00 -2.327606E+00 -2.131914E+00 -2.320570E+00 -2.087863E+00
  3.370000E+00 -2.310820E+00 -2.115215E+00 -2.315019E+00 -2.082296E+00
  3.372000E+00 -2.327606E+00 -2.115215E+00 -2.292812E+00 -2.082296E+00
  3.374000E+00 -2.349986E+00 -2.131914E+00 -2.287261E+00 -2.082296E+00
  3.376000E+00 -2.366772E+00 -2.126348E+00 -2.315019E+00 -2.087863E+00
  3.378000E+00 -2.377962E+00 -2.143047E+00 -2.265054E+00 -2.093431E+00
  3.380000E+00 -2.344391E+00 -2.137480E+00 -2.270606E+00 -2.098999E+00
  3.382000E+00 -2.322011E+00 -2.126348E+00 -2.276158E+00 -2.104566E+00
  3.384000E+00 -2.338796E+00 -2.115215E+00 -2.265054E+00 -2.093431E+00
  3.386000E+00 -2.361177E+00 -2.115215E+00 -2.298364E+00 -2.087863E+00
  3.388000E+00 -2.366772E+00 -2.098516E+00 -2.287261E+00 -2.104566E+00
  3.390000E+00 -2.355582E+00 -2.104082E+00 -2.276158E+00 -2.098999E+00
  3.392000E+00 -2.327606E+00 -2.126348E+00 -2.270606E+00 -2.110134E+00
  3.394000E+00 -2.333201E+00 -2.126348E+00 -2.276158E+00 -2.104566E+00
  3.396000E+00 -2.288439E+00 -2.126348E+00 -2.298364E+00 -2.115701E+00
  3.398000E+00 -2.305225E+00 -2.137480E+00 -2.270606E+00 -2.110134E+00
  3.400000E+00 -2.310820E+00 -2.131914E+00 -2.242848E+00 -2.104566E+00
  3.402000E+00 -2.277249E+00 -2.137480E+00 -2.265054E+00 -2.115701E+00
  3.404000E+00 -2.266058E+00 -2.154179E+00 -2.259503E+00 -2.126837E+00
  3.406000E+00 -2.266058E+00 -2.148613E+00 -2.242848E+00 -2.121269E+00
  3.408000E+00 -2.266058E+00 -2.154179E+00 -2.231745E+00 -2.121269E+00
  3.410000E+00 -2.266058E+00 -2.143047E+00 -2.248399E+00 -2.137972E+00
  3.412000E+00 -2.249273E+00 -2.154179E+00 -2.231745E+00 -2.137972E+00
  3.414000E+00 -2.249273E+00 -2.148613E+00 -2.231745E+00 -2.143540E+00
  3.416000E+00 -2.266058E+00 -2.137480E+00 -2.237296E+00 -2.149107E+00
  3.418000E+00 -2.238082E+00 -2.126348E+00 -2.242848E+00 -2.132404E+00
  3.420000E+00 -2.310820E+00 -2.131914E+00 -2.176229E+00 -2.110134E+00
  3.422000E+00 -2.282844E+00 -2.104082E+00 -2.209538E+00 -2.104566E+00
  3.424000E+00 -2.266058E+00 -2.120781E+00 -2.203987E+00 -2.037755E+00
  3.426000E+00 -2.238082E+00 -2.081817E+00 -2.242848E+00 -2.071160E+00
  3.428000E+00 -2.277249E+00 -2.098516E+00 -2.209538E+00 -2.048890E+00
  3.430000E+00 -2.277249E+00 -2.098516E+00 -2.215090E+00 -2.037755E+00
  3.432000E+00 -2.282844E+00 -2.081817E+00 -2.209538E+00 -2.043322E+00
  3.434000E+00 -2.305225E+00 -2.087383E+00 -2.187332E+00 -2.021052E+00
  3.436000E+00 -2.277249E+00 -2.070684E+00 -2.231745E+00 -2.004349E+00
  3.438000E+00 -2.266058E+00 -2.031720E+00 -2.259503E+00 -2.021052E+00
  3.440000E+00 -2.277249E+00 -2.020587E+00 -2.270606E+00 -2.032187E+00
  3.442000E+00 -2.294034E+00 -1.998322E+00 -2.270606E+00 -2.032187E+00
  3.444000E+00 -2.277249E+00 -2.015021E+00 -2.270606E+00 -2.026619E+00
  3.446000E+00 -2.299630E+00 -2.026153E+00 -2.292812E+00 -1.976511E+00
  3.448000E+00 -2.316415E+00 -2.048419E+00 -2.237296E+00 -1.965375E+00
  3.450000E+00 -2.338796E+00 -2.053985E+00 -2.265054E+00 -1.937537E+00
  3.452000E+00 -2.310820E+00 -2.026153E+00 -2.270606E+00 -1.954240E+00
  3.454000E+00 -2.260463E+00 -1.998322E+00 -2.348328E+00 -1.954240E+00
  3.456000E+00 -2.366772E+00 -2.031720E+00 -2.342777E+00 -1.904131E+00
  3.458000E+00 -2.366772E+00 -2.042852E+00 -2.376086E+00 -1.898564E+00
  3.460000E+00 -2.338796E+00 -2.065118E+00 -2.409396E+00 -1.926402E+00
  3.462000E+00 -2.344391E+00 -2.059551E+00 -2.387190E+00 -1.937537E+00
  3.464000E+00 -2.361177E+00 -2.070684E+00 -2.392741E+00 -1.943105E+00
  3.466000E+00 -2.417129E+00 -2.070684E+00 -2.359432E+00 -1.943105E+00
  3.468000E+00 -2.355582E+00 -2.070684E+00 -2.409396E+00 -1.965375E+00
  3.470000E+00 -2.389153E+00 -2.104082E+00 -2.331674E+00 -1.909699E+00
  3.472000E+00 -2.405938E+00 -2.087383E+00 -2.331674E+00 -1.926402E+00
  3.474000E+00 -2.299630E+00 -2.037286E+00 -2.409396E+00 -1.959808E+00
  3.476000E+00 -2.355582E+00 -2.059551E+00 -2.403845E+00 -1.904131E+00
  3.478000E+00 -2.338796E+00 -2.048419E+00 -2.387190E+00 -1.915267E+00
  3.480000E+00 -2.355582E+00 -2.059551E+00 -2.348328E+00 -1.892996E+00
  3.482000E+00 -2.366772E+00 -2.059551E+00 -2.331674E+00 -1.876293E+00
  3.484000E+00 -2.372367E+00 -2.031720E+00 -2.359432E+00 -1.892996E+00
  3.486000E+00 -2.355582E+00 -2.009454E+00 -2.364983E+00 -1.909699E+00
  3.488000E+00 -2.355582E+00 -2.003888E+00 -2.376086E+00 -1.937537E+00
  3.490000E+00 -2.372367E+00 -1.976056E+00 -2.337225E+00 -1.965375E+00
  3.492000E+00 -2.417129E+00 -2.020587E+00 -2.303916E+00 -1.926402E+00
  3.494000E+00 -2.377962E+00 -1.992755E+00 -2.326122E+00 -1.926402E+00
  3.496000E+00 -2.366772E+00 -1.970490E+00 -2.353880E+00 -1.959808E+00
  3.498000E+00 -2.411534E+00 -1.987189E+00 -2.281709E+00 -1.915267E+00
  3.500000E+00 -2.383558E+00 -1.970490E+00 -2.337225E+00 -1.931970E+00
  3.502000E+00 -2.400343E+00 -1.964924E+00 -2.337225E+00 -1.943105E+00
  3.504000E+00 -2.389153E+00 -1.959357E+00 -2.331674E+00 -1.926402E+00
  3.506000E+00 -2.411534E+00 -1.953791E+00 -2.326122E+00 -1.926402E+00
  3.508000E+00 -2.400343E+00 -1.959357E+00 -2.331674E+00 -1.915267E+00
  3.510000E+00 -2.400343E+00 -1.931525E+00 -2.342777E+00 -1.931970E+00
  3.512000E+00 -2.433915E+00 -1.948225E+00 -2.303916E+00 -1.915267E+00
  3.514000E+00 -2.450700E+00 -1.959357E+00 -2.331674E+00 -1.937537E+00
  3.516000E+00 -2.417129E+00 -1.937092E+00 -2.342777E+00 -1.931970E+00
  3.518000E+00 -2.405938E+00 -1.931525E+00 -2.370535E+00 -1.931970E+00
  3.520000E+00 -2.428319E+00 -1.920393E+00 -2.342777E+00 -1.943105E+00
  3.522000E+00 -2.428319E+00 -1.937092E+00 -2.337225E+00 -1.948672E+00
  3.524000E+00 -2.422724E+00 -1.931525E+00 -2.364983E+00 -1.965375E+00
  3.526000E+00 -2.417129E+00 -1.920393E+00 -2.370535E+00 -1.970943E+00
  3.528000E+00 -2.411534E+00 -1.920393E+00 -2.403845E+00 -1.970943E+00
  3.530000E+00 -2.428319E+00 -1.909260E+00 -2.359432E+00 -1.959808E+00
  3.532000E+00 -2.473081E+00 -1.920393E+00 -2.342777E+00 -1.959808E+00
  3.534000E+00 -2.478676E+00 -1.914826E+00 -2.337225E+00 -1.965375E+00
  3.536000E+00 -2.456295E+00 -1.920393E+00 -2.337225E+00 -1.948672E+00
  3.538000E+00 -2.428319E+00 -1.925959E+00 -2.398293E+00 -1.959808E+00
  3.540000E+00 -2.433915E+00 -1.914826E+00 -2.398293E+00 -1.987646E+00
  3.542000E+00 -2.433915E+00 -1.925959E+00 -2.403845E+00 -1.959808E+00
  3.544000E+00 -2.489866E+00 -1.942658E+00 -2.342777E+00 -1.954240E+00
  3.546000E+00 -2.517843E+00 -1.953791E+00 -2.326122E+00 -1.937537E+00
  3.548000E+00 -2.484271E+00 -1.931525E+00 -2.381638E+00 -1.965375E+00
  3.550000E+00 -2.495462E+00 -1.976056E+00 -2.353880E+00 -1.943105E+00
  3.552000E+00 -2.517843E+00 -2.003888E+00 -2.326122E+00 -1.931970E+00
  3.554000E+00 -2.501057E+00 -1.998322E+00 -2.353880E+00 -1.943105E+00
  3.556000E+00 -2.512247E+00 -2.009454E+00 -2.414948E+00 -1.954240E+00
  3.558000E+00 -2.495462E+00 -1.998322E+00 -2.381638E+00 -1.937537E+00
  3.560000E+00 -2.445105E+00 -2.015021E+00 -2.414948E+00 -1.926402E+00
  3.562000E+00 -2.417129E+00 -1.987189E+00 -2.464912E+00 -1.959808E+00
  3.564000E+00 -2.433915E+00 -1.992755E+00 -2.470464E+00 -1.954240E+00
  3.566000E+00 -2.417129E+00 -1.970490E+00 -2.459361E+00 -1.965375E+00
